v3_start,v3_end,offset,match_method
16859,16868,54,gaia
16869,16869,54,tyc
16870,17010,54,gaia
17011,17011,54,tyc
17012,17031,54,gaia
17032,17032,54,tyc
17033,17049,54,gaia
17050,17050,54,tyc
17051,17063,54,gaia
17064,17064,54,tyc
17065,17134,54,gaia
17135,17135,54,tyc
17136,17301,54,gaia
17302,17302,54,tyc
17303,17467,54,gaia
17468,17468,54,tyc
17469,17511,54,gaia
17512,17512,53,gaia
17513,17521,54,gaia
17522,17522,54,tyc
17523,17594,54,gaia
17595,17595,54,tyc
17596,17640,54,gaia
17641,17710,55,gaia
17711,17711,55,tyc
17712,17712,55,gaia
17713,17864,56,gaia
17865,17865,56,tyc
17866,17998,56,gaia
17999,18013,57,gaia
18014,18014,57,tyc
18015,18019,57,gaia
18020,18020,57,tyc
18021,18024,57,gaia
18025,18025,57,tyc
18026,18026,57,gaia
18027,18027,57,tyc
18028,18074,57,gaia
18075,18075,57,tyc
18076,18129,57,gaia
18130,18130,57,tyc
18131,18257,57,gaia
18258,18258,57,tyc
18259,18282,57,gaia
18283,18296,58,gaia
18297,18343,59,gaia
18344,18365,60,gaia
18366,18366,60,tyc
18367,18609,60,gaia
18610,18610,60,tyc
18611,18641,60,gaia
18642,18642,60,tyc
18643,18812,60,gaia
18813,18813,60,tyc
18814,18932,60,gaia
18933,18933,60,tyc
18934,18935,60,gaia
18936,18936,60,tyc
18937,18956,60,gaia
18957,18957,60,tyc
18958,18969,60,gaia
18970,18970,60,tyc
18971,19068,60,gaia
19069,19069,60,tyc
19070,19215,60,gaia
19216,19216,60,tyc
19217,19234,60,gaia
19235,19435,61,gaia
19436,19436,61,tyc
19437,19489,61,gaia
19490,19591,62,gaia
19592,19613,63,gaia
19614,19614,63,tyc
19615,19727,63,gaia
19728,19728,63,tyc
19729,19778,63,gaia
19779,19802,64,gaia
19803,19837,65,gaia
19838,19838,65,tyc
19839,19858,65,gaia
19859,19859,65,tyc
19860,19884,65,gaia
19885,19885,65,tyc
19886,19912,65,gaia
19913,19913,65,tyc
19914,19921,65,gaia
19922,19939,66,gaia
19940,19940,66,tyc
19941,20026,66,gaia
20027,20027,66,tyc
20028,20093,66,gaia
20094,20094,66,tyc
20095,20146,66,gaia
20147,20147,66,tyc
20148,20252,66,gaia
20253,20563,67,gaia
20564,20564,67,tyc
20565,20576,67,gaia
20577,20577,67,tyc
20578,20612,67,gaia
20613,20613,67,tyc
20614,20616,67,gaia
20617,20617,67,tyc
20618,20652,67,gaia
20653,20653,67,tyc
20654,20697,67,gaia
20698,20719,68,gaia
20720,20720,68,tyc
20721,20785,68,gaia
20786,20786,68,tyc
20787,20831,68,gaia
20832,20832,68,tyc
20833,20859,68,gaia
20860,20860,68,tyc
20861,20965,68,gaia
20966,20993,69,gaia
20994,20994,69,tyc
20995,21076,69,gaia
21077,21077,69,tyc
21078,21088,69,gaia
21089,21092,70,gaia
21093,21093,70,tyc
21094,21163,70,gaia
21164,21224,71,gaia
21225,21225,71,tyc
21226,21277,71,gaia
21278,21278,71,tyc
21279,21331,71,gaia
21332,21332,71,tyc
21333,21335,71,gaia
21336,21336,71,tyc
21337,21378,71,gaia
21379,21380,71,tyc
21381,21387,71,gaia
21388,21444,72,gaia
21445,21445,72,tyc
21446,21463,72,gaia
21464,21464,72,tyc
21465,21490,72,gaia
21491,21491,72,tyc
21492,21535,72,gaia
21536,21536,72,tyc
21537,21680,72,gaia
21681,21690,73,gaia
21691,21691,73,tyc
21692,21706,73,gaia
21707,21707,74,gaia
21708,21708,74,tyc
21709,21716,74,gaia
21717,21717,74,tyc
21718,21732,74,gaia
21733,21733,74,tyc
21734,21856,74,gaia
21857,21864,75,gaia
21865,21865,75,tyc
21866,22099,75,gaia
22100,22100,75,tyc
22101,22207,75,gaia
22208,22208,75,tyc
22209,22276,75,gaia
22277,22298,76,gaia
22299,22326,77,gaia
22327,22327,77,tyc
22328,22331,77,gaia
22332,22332,77,tyc
22333,22492,77,gaia
22493,22493,77,tyc
22494,22551,77,gaia
22552,22552,77,tyc
22553,22600,77,gaia
22601,22644,78,gaia
22645,22645,78,tyc
22646,22682,78,gaia
22683,22687,79,gaia
22688,22688,79,tyc
22689,22694,79,gaia
22695,22695,79,tyc
22696,22781,79,gaia
22782,22782,79,tyc
22783,22796,79,gaia
22797,22797,79,tyc
22798,22874,79,gaia
22875,22875,79,tyc
22876,22911,79,gaia
22912,22912,79,tyc
22913,23057,79,gaia
23058,23058,79,tyc
23059,23137,79,gaia
23138,23193,80,gaia
23194,23194,81,gaia
23195,23195,79,tyc
23196,23272,81,gaia
23273,23273,81,tyc
23274,23289,81,gaia
23290,23318,82,gaia
23319,23319,82,tyc
23320,23323,82,gaia
23324,23324,82,tyc
23325,23364,82,gaia
23365,23365,82,tyc
23366,23366,82,gaia
23367,23367,82,tyc
23368,23443,82,gaia
23444,23444,82,tyc
23445,23573,82,gaia
23574,23574,82,tyc
